High,Volume,Low,Date,Close,Market Cap,Open,Name
0.006406,"1,358,830",0.006277,03/14/17,0.006381,"236,634,000",0.006346,Ripple
0.006429,"2,561,890",0.006156,03/13/17,0.006385,"233,853,000",0.006271,Ripple
0.006313,"1,531,030",0.006086,03/12/17,0.006255,"231,721,000",0.006214,Ripple
0.006383,"1,818,590",0.00613,03/11/17,0.006238,"232,266,000",0.006229,Ripple
0.006546,"3,144,440",0.00605,03/10/17,0.006227,"242,488,000",0.006503,Ripple
0.006606,"2,064,660",0.006423,03/09/17,0.006498,"242,570,000",0.006485,Ripple
0.006776,"3,432,500",0.006363,03/08/17,0.006509,"245,051,000",0.006551,Ripple
0.006577,"2,901,920",0.005974,03/07/17,0.006534,"226,570,000",0.006057,Ripple
0.006221,"1,023,500",0.006047,03/06/17,0.006057,"229,280,000",0.006129,Ripple
0.006389,"1,044,760",0.006129,03/05/17,0.006129,"235,301,000",0.00629,Ripple
0.006497,"1,372,440",0.006278,03/04/17,0.006299,"237,670,000",0.006354,Ripple
0.006346,"2,703,850",0.005968,03/03/17,0.006339,"224,009,000",0.005988,Ripple
0.006217,"3,811,500",0.005408,03/02/17,0.005991,"201,301,000",0.005419,Ripple
0.005547,"1,630,460",0.005372,03/01/17,0.005408,"205,222,000",0.005525,Ripple
0.005631,"1,693,350",0.005438,02/28/17,0.005536,"208,297,000",0.005608,Ripple
0.005696,"641,126",0.005608,02/27/17,0.005609,"210,425,000",0.005665,Ripple
0.005733,"258,373",0.005651,02/26/17,0.005671,"210,392,000",0.005664,Ripple
0.005743,"684,577",0.005628,02/25/17,0.005665,"211,712,000",0.0057,Ripple
0.005919,"1,343,690",0.005644,02/24/17,0.005701,"218,525,000",0.005883,Ripple
0.005943,"750,533",0.005798,02/23/17,0.005895,"216,920,000",0.005856,Ripple
0.005887,"500,712",0.005817,02/22/17,0.00586,"216,670,000",0.005849,Ripple
0.005909,"653,081",0.005735,02/21/17,0.005832,"217,476,000",0.005871,Ripple
0.005949,"880,117",0.00574,02/20/17,0.005873,"217,802,000",0.005879,Ripple
0.005892,"896,856",0.00557,02/19/17,0.005878,"207,033,000",0.005589,Ripple
0.006014,"1,866,850",0.005427,02/18/17,0.005569,"220,370,000",0.005949,Ripple
0.006095,"1,160,600",0.005872,02/17/17,0.005935,"220,014,000",0.005939,Ripple
0.006244,"1,355,840",0.005988,02/16/17,0.006027,"227,363,000",0.006138,Ripple
0.006302,"813,299",0.006095,02/15/17,0.006147,"232,611,000",0.006279,Ripple
0.006352,"671,150",0.00624,02/14/17,0.006278,"231,161,000",0.00624,Ripple
0.006338,"462,843",0.006228,02/13/17,0.006251,"232,161,000",0.006267,Ripple
0.006364,"230,479",0.006269,02/12/17,0.006269,"234,436,000",0.006328,Ripple
0.006395,"334,607",0.006273,02/11/17,0.006333,"232,996,000",0.00629,Ripple
0.0067,"808,768",0.006192,02/10/17,0.006289,"235,873,000",0.006367,Ripple
0.006484,"1,700,680",0.006193,02/09/17,0.006374,"237,091,000",0.006433,Ripple
0.007833,"860,217",0.006402,02/08/17,0.006438,"236,123,000",0.006407,Ripple
0.006509,"945,440",0.006378,02/07/17,0.006407,"237,240,000",0.006437,Ripple
0.006494,"386,766",0.006397,02/06/17,0.00645,"237,318,000",0.006439,Ripple
0.006563,"367,001",0.006403,02/05/17,0.006442,"239,337,000",0.006494,Ripple
0.006528,"314,187",0.006429,02/04/17,0.006492,"239,094,000",0.006487,Ripple
0.00651,"548,263",0.006401,02/03/17,0.006474,"238,302,000",0.006466,Ripple
0.00663,"670,888",0.006381,02/02/17,0.006469,"241,026,000",0.00654,Ripple
0.006642,"1,836,820",0.006249,02/01/17,0.00654,"232,609,000",0.006311,Ripple
0.006411,"661,444",0.006297,01/31/17,0.006314,"235,508,000",0.00639,Ripple
0.006468,"391,822",0.006353,01/30/17,0.006381,"235,961,000",0.006402,Ripple
0.006493,"325,176",0.006287,01/29/17,0.006402,"234,254,000",0.006356,Ripple
0.006419,"241,491",0.006323,01/28/17,0.006342,"236,216,000",0.006409,Ripple
0.006815,"924,745",0.006331,01/27/17,0.006415,"246,404,000",0.006685,Ripple
0.007073,"1,446,950",0.006425,01/26/17,0.00669,"239,951,000",0.006511,Ripple
0.006594,"522,497",0.00649,01/25/17,0.006513,"240,565,000",0.006527,Ripple
0.006718,"509,262",0.006534,01/24/17,0.00654,"247,242,000",0.006708,Ripple
0.006735,"309,838",0.006662,01/23/17,0.006697,"247,604,000",0.006718,Ripple
0.006759,"362,422",0.006653,01/22/17,0.006713,"247,165,000",0.006706,Ripple
0.006824,"553,724",0.006678,01/21/17,0.006706,"246,709,000",0.006694,Ripple
0.00716,"620,052",0.00661,01/20/17,0.006675,"259,186,000",0.007032,Ripple
0.00704,"760,684",0.006671,01/19/17,0.007034,"246,854,000",0.006713,Ripple
0.007125,"1,342,730",0.006659,01/18/17,0.006709,"249,667,000",0.00679,Ripple
0.006848,"1,842,150",0.006612,01/17/17,0.0068,"249,018,000",0.006772,Ripple
0.006836,"699,284",0.006717,01/16/17,0.006788,"248,106,000",0.006747,Ripple
0.006925,"780,822",0.006726,01/15/17,0.006726,"252,519,000",0.006867,Ripple
0.006872,"1,307,810",0.006585,01/14/17,0.006863,"243,056,000",0.00661,Ripple
0.006664,"2,059,340",0.006396,01/13/17,0.006596,"236,592,000",0.006434,Ripple
0.006851,"5,013,190",0.006351,01/12/17,0.006423,"233,170,000",0.006417,Ripple
0.006721,"3,436,270",0.006312,01/11/17,0.006411,"243,761,000",0.006708,Ripple
0.006815,"2,510,530",0.006148,01/10/17,0.006698,"223,720,000",0.006157,Ripple
0.006294,"702,255",0.006127,01/09/17,0.006167,"226,700,000",0.006239,Ripple
0.006383,"554,133",0.006232,01/08/17,0.006233,"231,946,000",0.006383,Ripple
0.006404,"1,351,030",0.006133,01/07/17,0.006366,"230,770,000",0.006351,Ripple
0.006394,"1,746,150",0.006109,01/06/17,0.006315,"225,184,000",0.006197,Ripple
0.00658,"4,058,170",0.006031,01/05/17,0.006201,"238,808,000",0.006572,Ripple
0.006656,"1,642,730",0.006385,01/04/17,0.00657,"232,030,000",0.006385,Ripple
0.006392,"1,014,830",0.006278,01/03/17,0.006386,"228,578,000",0.00629,Ripple
0.006437,"1,046,250",0.006281,01/02/17,0.006311,"232,067,000",0.006386,Ripple
0.006702,"418,978",0.006334,01/01/17,0.006368,"237,032,000",0.006523,Ripple
0.006538,"272,884",0.006387,12/31/16,0.006449,"233,185,000",0.006417,Ripple
0.006455,"1,379,470",0.006338,12/30/16,0.006426,"230,797,000",0.006352,Ripple
0.006354,"1,345,050",0.006167,12/29/16,0.006341,"222,517,000",0.00618,Ripple
0.006336,"2,064,130",0.006126,12/28/16,0.006173,"222,957,000",0.006193,Ripple
0.006326,"2,471,000",0.006188,12/27/16,0.006199,"227,764,000",0.006326,Ripple
0.006481,"1,640,840",0.006323,12/26/16,0.006326,"231,980,000",0.006443,Ripple
0.006453,"2,188,780",0.006334,12/25/16,0.006444,"228,638,000",0.00635,Ripple
0.006371,"2,495,670",0.006234,12/24/16,0.006349,"225,933,000",0.006275,Ripple
0.006436,"3,514,540",0.006281,12/23/16,0.006286,"229,051,000",0.006362,Ripple
0.006466,"2,897,110",0.006324,12/22/16,0.006363,"230,933,000",0.006452,Ripple
0.006498,"2,300,840",0.006417,12/21/16,0.006445,"232,609,000",0.006498,Ripple
0.006543,"2,284,690",0.006481,12/20/16,0.0065,"234,114,000",0.00654,Ripple
0.006582,"1,109,670",0.006534,12/19/16,0.006545,"235,601,000",0.006582,Ripple
0.00658,"1,194,400",0.006533,12/18/16,0.006574,"234,125,000",0.006541,Ripple
0.006711,"1,838,990",0.006535,12/17/16,0.006541,"239,970,000",0.006704,Ripple
0.006791,"2,575,390",0.006661,12/16/16,0.00671,"238,467,000",0.006662,Ripple
0.006699,"1,050,570",0.006606,12/15/16,0.006662,"241,138,000",0.006699,Ripple
0.006753,"2,002,770",0.00669,12/14/16,0.006705,"241,323,000",0.006704,Ripple
0.006781,"1,946,660",0.006678,12/13/16,0.006708,"244,047,000",0.00678,Ripple
0.006809,"1,449,640",0.006743,12/12/16,0.006778,"242,743,000",0.006744,Ripple
0.006998,"978,511",0.006731,12/11/16,0.006744,"245,332,000",0.006816,Ripple
0.007145,"1,297,860",0.006816,12/10/16,0.006816,"256,936,000",0.007138,Ripple
0.007162,"2,421,860",0.007007,12/09/16,0.007135,"255,230,000",0.007091,Ripple
0.007156,"2,789,540",0.006829,12/08/16,0.007097,"246,469,000",0.006849,Ripple
0.006851,"2,805,260",0.006565,12/07/16,0.006851,"239,432,000",0.006653,Ripple
0.006655,"1,396,500",0.006417,12/06/16,0.006655,"231,585,000",0.006435,Ripple
0.006761,"867,666",0.006419,12/05/16,0.006434,"234,832,000",0.006525,Ripple
0.006594,"1,167,110",0.006519,12/04/16,0.006527,"237,241,000",0.006592,Ripple
0.00689,"1,213,480",0.006588,12/03/16,0.006588,"241,553,000",0.006712,Ripple
0.006906,"1,756,030",0.006615,12/02/16,0.00666,"241,354,000",0.006707,Ripple
0.006737,"1,142,000",0.006702,12/01/16,0.006702,"241,183,000",0.006723,Ripple
0.006784,"1,495,310",0.00672,11/30/16,0.006723,"243,213,000",0.006779,Ripple
0.007042,"1,551,670",0.00678,11/29/16,0.00678,"251,466,000",0.007009,Ripple
0.007114,"1,818,750",0.006947,11/28/16,0.007008,"254,074,000",0.007082,Ripple
0.007499,"525,140",0.00707,11/27/16,0.007074,"264,950,000",0.007385,Ripple
0.00739,"560,816",0.006847,11/26/16,0.00739,"247,374,000",0.006895,Ripple
0.006979,"995,869",0.006888,11/25/16,0.006902,"249,288,000",0.006948,Ripple
0.007069,"1,845,880",0.006945,11/24/16,0.00695,"253,280,000",0.007062,Ripple
0.007435,"3,730,650",0.007035,11/23/16,0.007061,"266,609,000",0.007434,Ripple
0.007567,"2,400,100",0.007431,11/22/16,0.007434,"271,375,000",0.007567,Ripple
0.007651,"2,594,010",0.007566,11/21/16,0.007566,"274,338,000",0.007649,Ripple
0.007806,"1,875,290",0.007626,11/20/16,0.007651,"279,729,000",0.007799,Ripple
0.007809,"1,296,770",0.007753,11/19/16,0.007799,"278,943,000",0.007778,Ripple
0.007778,"2,487,390",0.007709,11/18/16,0.007778,"276,965,000",0.007722,Ripple
0.007867,"2,401,030",0.007721,11/17/16,0.007727,"280,776,000",0.007851,Ripple
0.007944,"2,905,840",0.007842,11/16/16,0.007842,"282,110,000",0.007888,Ripple
0.008115,"3,078,090",0.007876,11/15/16,0.007881,"289,677,000",0.008099,Ripple
0.008308,"1,283,330",0.008059,11/14/16,0.008098,"295,227,000",0.008255,Ripple
0.008258,"2,201,990",0.007968,11/13/16,0.008257,"287,512,000",0.008039,Ripple
0.008105,"1,708,000",0.008019,11/12/16,0.008044,"288,307,000",0.008061,Ripple
0.008146,"2,039,200",0.008058,11/11/16,0.008065,"290,820,000",0.008131,Ripple
0.008138,"2,600,650",0.008043,11/10/16,0.008136,"288,074,000",0.008081,Ripple
0.008222,"3,575,540",0.008074,11/09/16,0.008079,"292,520,000",0.008205,Ripple
0.008246,"2,477,080",0.008108,11/08/16,0.008206,"289,162,000",0.008111,Ripple
0.008197,"2,308,500",0.008088,11/07/16,0.008108,"292,208,000",0.008197,Ripple
0.008277,"784,787",0.008187,11/06/16,0.008193,"293,394,000",0.00823,Ripple
0.008261,"967,011",0.008155,11/05/16,0.00823,"290,785,000",0.008157,Ripple
0.008161,"2,707,110",0.008008,11/04/16,0.008157,"285,742,000",0.008015,Ripple
0.008243,"3,114,110",0.007975,11/03/16,0.008021,"292,112,000",0.008221,Ripple
0.008222,"1,739,300",0.008088,11/02/16,0.008222,"287,949,000",0.008104,Ripple
0.008259,"1,875,440",0.008083,11/01/16,0.008102,"291,237,000",0.008197,Ripple
0.008261,"2,515,480",0.008014,10/31/16,0.008196,"284,730,000",0.008014,Ripple
0.008018,"2,071,780",0.007716,10/30/16,0.008014,"274,932,000",0.007738,Ripple
0.008162,"3,471,390",0.007674,10/29/16,0.007732,"289,835,000",0.008157,Ripple
0.008492,"3,881,320",0.008081,10/28/16,0.008143,"301,397,000",0.008483,Ripple
0.008849,"4,302,920",0.008468,10/27/16,0.008481,"313,452,000",0.008833,Ripple
0.008944,"2,969,280",0.008815,10/26/16,0.008835,"315,266,000",0.008884,Ripple
0.009135,"2,780,690",0.008882,10/25/16,0.008891,"321,685,000",0.009065,Ripple
0.009485,"1,717,690",0.009054,10/24/16,0.009065,"334,725,000",0.009432,Ripple
0.009454,"974,189",0.008915,10/23/16,0.009454,"318,562,000",0.008977,Ripple
0.009081,"1,649,580",0.008864,10/22/16,0.008972,"320,363,000",0.009027,Ripple
0.009128,"4,055,710",0.008856,10/21/16,0.009029,"322,602,000",0.00909,Ripple
0.009124,"5,895,540",0.00862,10/20/16,0.009092,"306,377,000",0.008636,Ripple
0.008637,"3,360,180",0.008318,10/19/16,0.008627,"296,137,000",0.008348,Ripple
0.00835,"3,782,990",0.008026,10/18/16,0.00835,"284,943,000",0.008032,Ripple
0.008144,"2,485,290",0.008011,10/17/16,0.00803,"286,614,000",0.008079,Ripple
0.00823,"608,355",0.008055,10/16/16,0.008078,"288,675,000",0.008137,Ripple
0.008885,"781,979",0.00813,10/15/16,0.008146,"311,086,000",0.008769,Ripple
0.00896,"1,915,430",0.00797,10/14/16,0.008767,"283,105,000",0.00798,Ripple
0.007984,"1,009,720",0.007867,10/13/16,0.007982,"282,061,000",0.007951,Ripple
0.008507,"2,943,130",0.007934,10/12/16,0.007949,"291,174,000",0.008208,Ripple
0.008324,"4,003,630",0.007905,10/11/16,0.008234,"283,575,000",0.007993,Ripple
0.008105,"6,150,610",0.007542,10/10/16,0.007978,"267,572,000",0.007542,Ripple
0.007563,"3,390,900",0.007299,10/09/16,0.007543,"259,324,000",0.00731,Ripple
